,Lat,Lng,Income
1,30.6010744,-87.77633329999999,56439.0
2,33.7701576,-85.80766,48156.0
3,34.2011537,-86.8220341,50906.0
4,34.5211397,-85.684578,44208.0
5,32.5647083,-86.0121573,61854.0
6,34.0455341,-86.05296039999999,41447.0
7,31.1318686,-85.31362179999999,50103.0
8,33.4914122,-86.9824288,53944.0
9,34.8840876,-87.658113,46632.0
10,32.5888702,-85.39627689999999,53712.0
11,34.78000720000001,-86.9423801,63695.0
12,34.72397309999999,-86.49965460000001,67930.0
13,34.3652297,-86.3376761,49467.0
14,30.6082227,-88.24611829999999,49639.0
15,32.2077447,-86.17517590000001,53117.0
16,34.4240875,-86.86218269999999,54338.0
17,33.6530112,-86.3376761,67487.0
18,33.3039292,-86.6611083,75614.0
19,33.4231716,-86.1344697,50147.0
20,33.3227653,-87.460397,52243.0
21,33.8563605,-87.30161319999999,46283.0
22,61.19489300000001,-149.877296,82716.0
23,64.9526102,-146.4744154,72065.0
24,62.2599347,-150.1729153,74709.0
25,35.5313224,-109.3783206,30480.0
26,31.82845799999999,-109.949686,48484.0
27,35.6647545,-111.4752851,58085.0
28,33.2917968,-112.4291464,68649.0
29,35.2143346,-113.7632828,50179.0
30,35.4019765,-110.1402594,38897.0
31,32.057499,-111.6660725,56169.0
32,32.8162061,-111.2845025,62057.0
33,34.6463981,-112.4291464,53816.0
34,32.6527533,-113.9536466,46419.0
35,36.2661518,-94.479976,69130.0
36,35.8260959,-90.6773046,45610.0
37,35.1035858,-92.38136209999999,57642.0
38,34.5559285,-93.17796589999999,45265.0
39,34.227351,-91.9099238,39326.0
40,34.7591647,-91.9099238,62532.0
41,34.75386150000001,-92.2236667,52043.0
42,34.5708215,-92.539603,66327.0
43,35.2260397,-94.315422,48839.0
44,35.9307703,-94.15137639999999,50798.0
45,35.2900612,-91.7538817,43399.0
46,37.6016892,-121.7195459,108322.0
47,39.6253952,-121.5370003,62563.0
48,37.8534093,-121.9017954,107135.0
49,38.74263759999999,-120.4357631,87059.0
50,36.9858984,-119.2320784,57518.0
51,40.7450055,-123.8695086,51662.0
52,33.0113694,-115.4733554,48472.0
53,35.4937274,-118.8596804,53067.0
54,36.0988489,-119.8815203,58453.0
55,39.08396440000001,-122.8084496,47138.0
56,34.0522265,-118.2436596,72797.0
57,37.251926,-119.6962677,64827.0
58,38.083403,-122.7633036,110843.0
59,39.5500194,-123.438353,51744.0
60,37.2009788,-120.7120023,61167.0
61,36.3136201,-121.3541631,77514.0
62,38.5024689,-122.2653887,92769.0
63,39.1346666,-121.1710389,68818.0
64,33.7174708,-117.8311428,95934.0
65,39.0915751,-120.8039474,97723.0
66,33.9532966,-117.3961192,73260.0
67,38.47467,-121.3541631,72017.0
68,34.9592083,-116.419389,67903.0
69,32.7157305,-117.1610966,83985.0
70,37.7749295,-122.4194155,123859.0
71,37.9175935,-121.1710389,68997.0
72,35.3102296,-120.4357631,77265.0
73,37.4337342,-122.4014193,138500.0
74,34.4208321,-119.6982057,75653.0
75,37.3336581,-121.8907041,133076.0
76,37.0453988,-121.9579578,89269.0
77,40.7908864,-121.8474493,63091.0
78,38.3104969,-121.9017954,86652.0
79,38.5779555,-122.9888319,87828.0
80,37.5090711,-120.9876321,63037.0
81,39.0219764,-121.6739371,62777.0
82,40.0982197,-122.174605,53475.0
83,36.1341739,-118.8596804,57692.0
84,34.3704884,-119.1390642,92236.0
85,38.7646021,-121.9017954,71417.0
86,39.2547027,-121.3998995,58765.0
87,39.8398269,-104.1930918,75804.0
88,39.62031,-104.332644,82710.0
89,40.1512114,-105.5005483,88535.0
90,39.9205411,-105.0866504,111400.0
91,39.7392358,-104.990251,75646.0
92,39.2587106,-104.9388853,122867.0
93,38.9108325,-104.4723301,72830.0
94,39.5800298,-105.2662931,90040.0
95,40.6955572,-105.5943388,75186.0
96,38.9585381,-108.6175626,60500.0
97,38.2528534,-104.4723301,51276.0
98,40.3920718,-104.7158226,78615.0
99,41.2559654,-73.37086959999999,97053.0
100,41.7924343,-72.8042797,75381.0
101,41.7866294,-73.2765361,81195.0
102,41.46985050000001,-72.4731529,76518.0
103,41.3266911,-72.8042797,69751.0
104,41.5185189,-72.0468164,75633.0
105,41.8418987,-72.37846789999999,91028.0
106,41.8275622,-72.0468164,62106.0
107,39.1440612,-75.4344727,58001.0
108,39.5392979,-75.667356,76328.0
109,38.65308410000001,-75.4344727,65155.0
110,38.9071923,-77.0368707,92266.0
111,29.6579549,-82.3017728,49534.0
112,30.1805306,-85.684578,59450.0
